RT_sec,mz,Int,RT_min
2.385,322.0481,36874.2148,0.03975
2.385,323.0508,3108.3682,0.03975
2.385,344.0299,4347.665,0.03975
2.385,922.0098,51404.5469,0.03975
2.385,923.0126,10844.9316,0.03975
2.385,924.0123,1740.3472,0.03975
2.385,943.9918,37693.5312,0.03975
2.385,944.9947,6143.855,0.03975
2.385,959.9629,4167.3516,0.03975
2.585,322.0481,34133.8828,0.0430833333333333
2.585,323.0504,2691.064,0.0430833333333333
2.585,344.0301,4309.3779,0.0430833333333333
2.585,829.9782,1248.396,0.0430833333333333
2.585,922.0098,46522.8516,0.0430833333333333
2.585,923.0118,9283.1055,0.0430833333333333
2.585,924.0118,1896.0991,0.0430833333333333
2.585,943.9907,34780.793,0.0430833333333333
2.585,944.9947,8162.832,0.0430833333333333
2.585,945.9966,1131.5444,0.0430833333333333
2.585,959.9635,4405.7354,0.0430833333333333
2.784,322.0481,41927.75,0.0464
2.784,323.0515,2605.9897,0.0464
2.784,344.0295,4083.05,0.0464
2.784,922.0098,52501.9883,0.0464
2.784,923.0121,10582.7441,0.0464
2.784,924.0172,1607.5688,0.0464
2.784,943.9916,36659.8516,0.0464
2.784,944.9948,8096.2256,0.0464
2.784,945.9974,1079.4408,0.0464
2.784,959.9629,4003.8669,0.0464
2.984,322.0481,39170.8047,0.0497333333333333
2.984,323.0509,3732.9563,0.0497333333333333
2.984,344.0294,4353.0312,0.0497333333333333
2.984,829.9782,1037.9976,0.0497333333333333
2.984,922.0098,52880.1367,0.0497333333333333
2.984,923.0118,10126.9775,0.0497333333333333
2.984,924.0156,1364.2434,0.0497333333333333
2.984,943.9926,38635.5859,0.0497333333333333
2.984,944.993,6571.4478,0.0497333333333333
2.984,945.998,1283.059,0.0497333333333333
2.984,959.9644,4267.6387,0.0497333333333333
3.187,322.0481,36990.207,0.0531166666666667
3.187,323.051,2131.9478,0.0531166666666667
3.187,344.0294,5931.2124,0.0531166666666667
3.187,922.0098,55592.8281,0.0531166666666667
3.187,923.0124,8124.0161,0.0531166666666667
3.187,924.0148,1902.7592,0.0531166666666667
3.187,943.9917,39190.3828,0.0531166666666667
3.187,944.136,1152.2515,0.0531166666666667
3.187,944.995,7463.1758,0.0531166666666667
3.187,945.9964,1281.4037,0.0531166666666667
3.187,959.9669,3649.0913,0.0531166666666667
3.386,322.0481,42509.5938,0.0564333333333333
3.386,323.0508,2311.1938,0.0564333333333333
3.386,344.0304,4975.7427,0.0564333333333333
3.386,922.0098,51290.6914,0.0564333333333333
3.386,922.1649,1595.5289,0.0564333333333333
3.386,923.012,11298.1455,0.0564333333333333
3.386,924.011,1396.4589,0.0564333333333333
3.386,943.9908,38135.4336,0.0564333333333333
3.386,944.9931,6949.4253,0.0564333333333333
3.386,945.9939,1835.0098,0.0564333333333333
3.386,959.9646,3758.0522,0.0564333333333333
3.586,322.0481,40066.7109,0.0597666666666667
3.586,323.0512,3299.8184,0.0597666666666667
3.586,344.0298,5482.2407,0.0597666666666667
3.586,922.0098,53963.5273,0.0597666666666667
3.586,923.0113,9973.7324,0.0597666666666667
3.586,924.0138,1646.7871,0.0597666666666667
3.586,943.9914,38214.5586,0.0597666666666667
3.586,944.9948,6891.1021,0.0597666666666667
3.586,959.9643,3831.7734,0.0597666666666667
3.786,322.0481,39808.6992,0.0631
3.786,323.0516,2660.8259,0.0631
3.786,344.0303,5363.0405,0.0631
3.786,922.0098,53562.0508,0.0631
3.786,922.1633,1670.2013,0.0631
3.786,923.0125,10716.7129,0.0631
3.786,924.0147,1503.4459,0.0631
3.786,943.9918,36939.2852,0.0631
3.786,944.9944,8114.4468,0.0631
3.786,945.996,1245.8944,0.0631
3.786,959.964,4103.814,0.0631
3.986,322.0481,40609.9375,0.0664333333333333
3.986,323.0512,3644.6191,0.0664333333333333
3.986,344.0295,5195.0225,0.0664333333333333
3.986,922.0098,51498.7734,0.0664333333333333
3.986,923.0129,9821.3428,0.0664333333333333
3.986,924.0123,1574.6989,0.0664333333333333
3.986,943.9921,37957.7734,0.0664333333333333
3.986,944.9951,8569.6387,0.0664333333333333
3.986,959.963,4206.1357,0.0664333333333333
4.185,322.0481,40918.3242,0.06975
4.185,323.0518,2066.8901,0.06975
4.185,344.029,4923.1729,0.06975
4.185,829.9802,1042.875,0.06975
4.185,922.0098,56115.4531,0.06975
4.185,923.0117,11310.8711,0.06975
4.185,924.0131,1846.2296,0.06975
4.185,943.9912,38203.6445,0.06975
4.185,944.9953,6920.3525,0.06975
4.185,945.9986,1183.4208,0.06975
4.185,959.9628,4179.4541,0.06975
4.185,960.9658,1190.2913,0.06975
4.385,322.0481,41604.8789,0.0730833333333333
