302.8401,3.0291,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
302.8401,302.8366,0.00349,3.029067,3.028333,0.0007333333
,,,,,
302.8401,3.0392,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
302.8401,302.8371,0.00304,3.039183,3.038783,0.0004
,,,,,
303.1841,2.6263,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
303.1841,303.1804,0.00368,2.626267,2.627017,-0.00075
,,,,,
303.1841,2.6397,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
303.1841,303.1807,0.00343,2.6397,2.63955,0.00015
,,,,,
303.1841,2.8332,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
303.1841,303.1806,0.00347,2.833217,2.833933,-0.0007166667
,,,,,
303.1841,2.8476,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
303.1841,303.1808,0.00334,2.847617,2.848567,-0.00095
,,,,,
443.5662,4.679,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
443.5662,443.5607,0.00547,4.678983,4.679583,-0.0006
,,,,,
443.8948,5.162,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
443.8948,443.8902,0.00457,5.162,5.16245,-0.00045
,,,,,
443.8948,5.1733,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
443.8948,443.8904,0.00441,5.1733,5.1729,0.0004
,,,,,
443.9068,5.2442,0,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
No match found,,,,,
,,,,,
445.7583,3.6357,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
445.7583,445.7537,0.0046,3.635717,3.636567,-0.00085
,,,,,
445.7583,3.6504,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
445.7583,445.753,0.00529,3.650383,3.651183,-0.0008
,,,,,
449.2272,4.7388,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
449.2272,449.2228,0.00436,4.738783,4.7381,0.0006833333
,,,,,
449.2272,4.7503,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
449.2272,449.2212,0.00597,4.7503,4.75065,-0.00035
,,,,,
449.2272,4.8391,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
449.2272,449.22,0.00723,4.839133,4.838467,0.0006666667
,,,,,
453.7556,3.0851,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
453.7556,453.75,0.00563,3.085117,3.084767,0.00035
,,,,,
454.558,3.703,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
454.558,454.5523,0.00572,3.703,3.70345,-0.00045
,,,,,
454.558,3.715,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
454.558,454.5529,0.00506,3.715033,3.715983,-0.00095
,,,,,
454.558,3.8402,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
454.558,454.5534,0.0046,3.840233,3.8393,0.0009333333
,,,,,
454.558,3.8541,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
454.558,454.5526,0.00541,3.8541,3.853933,0.0001666667
,,,,,
454.558,3.9525,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
454.558,454.5532,0.00484,3.952533,3.952167,0.0003666667
,,,,,
454.558,3.9667,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
454.558,454.553,0.00495,3.966683,3.9668,-0.0001166667
,,,,,
501.2607,4.4525,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
501.2607,501.2549,0.00576,4.452467,4.45175,0.0007166667
,,,,,
501.2607,4.4624,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
501.2607,501.2555,0.00518,4.4624,4.4622,0.0002
,,,,,
506.5915,3.5532,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
506.5915,506.587,0.00448,3.553167,3.55295,0.0002166667
,,,,,
592.3154,5.9317,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
592.3154,592.3093,0.00607,5.931733,5.931667,6.666667e-05
,,,,,
592.3154,5.9405,1,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
