Unique MASCOT RT (mins),Difference RT (mins)
3.0291,0.0070167
3.0291,0.00073333
3.0291,-0.00135
3.0291,-0.0076167
3.0291,0.0049167
3.0291,-0.0034333
3.0291,0.0091
3.0291,0.0028333
3.0291,-0.0097167
3.0291,-0.0055333
3.0392,-0.00795
3.0392,0.0087667
3.0392,0.0025
3.0392,-0.0037667
3.0392,0.0066833
3.0392,0.0004
3.0392,-0.0016833
3.0392,-0.0058667
3.0392,0.0045833
2.6263,0.0034333
2.6263,-0.0049333
2.6263,-0.00075
2.6263,0.0055167
2.6263,0.0076167
2.6263,0.0097
2.6263,0.0013333
2.6263,-0.0091167
2.6263,-0.0028333
2.6263,-0.0070167
2.6397,-0.0082167
2.6397,-0.0061333
2.6397,-0.00195
2.6397,0.0085
2.6397,0.00015
2.6397,0.0022333
2.6397,0.0043167
2.6397,0.0064167
2.6397,-0.0040333
2.8332,0.0076333
2.8332,0.0097333
2.8332,0.00345
2.8332,0.0013667
2.8332,-0.00071667
2.8332,-0.0090833
2.8332,0.00555
2.8332,-0.0028167
2.8332,-0.0049
2.8332,-0.007
2.8476,-0.0093167
2.8476,-0.0072333
2.8476,-0.00095
2.8476,0.0053167
2.8476,0.0095
2.8476,0.0011333
2.8476,0.0032167
2.8476,-0.00305
2.8476,0.0074
2.8476,-0.0051333
4.679,-0.0006
4.679,-0.0047833
4.679,0.00985
4.679,0.0035833
4.679,-0.0089667
4.679,0.0014833
4.679,0.0077667
4.679,0.0056667
4.679,-0.0068667
4.679,-0.0026833
5.162,0.01
5.162,0.0058167
5.162,-0.0088167
5.162,-0.0067167
5.162,0.0079167
5.162,-0.0046333
5.162,0.00165
5.162,-0.00045
5.162,0.0037333
5.162,-0.0025333
5.1733,-0.0058667
5.1733,-0.0037833
5.1733,0.0024833
5.1733,0.0045833
5.1733,-0.0079667
5.1733,0.0066667
5.1733,-0.0016833
5.1733,0.0004
5.1733,0.0087667
3.6357,0.00125
3.6357,-0.0092
3.6357,-0.0071167
3.6357,-0.0029333
3.6357,0.0054333
3.6357,-0.00085
3.6357,0.0075167
3.6357,0.0096167
3.6357,-0.0050167
3.6357,0.0033333
3.6504,-0.0091667
3.6504,-0.0008
3.6504,0.0054667
3.6504,0.00755
3.6504,-0.0070833
3.6504,0.0033667
3.6504,0.0012833
3.6504,-0.0029
3.6504,-0.0049833
3.6504,0.00965
4.7388,-0.0076833
4.7388,-0.0097833
