Unique MASCOT (mz),Difference (mz)
302.8401,0.0016252462
302.8401,0.0015506419
302.8401,0.0014752079
302.8401,0.0013331458
302.8401,0.0012984971
302.8401,0.00082138559
302.8401,0.0007070647
302.8401,0.0006638322
302.8401,0.00055894543
302.8401,0.00043260065
302.8401,0.00032519608
302.8401,2.818453e-06
302.8401,-0.00041244597
302.8401,-0.00044983325
302.8401,-0.00053424868
302.8401,-0.00056734465
302.8401,-0.00060997127
302.8401,-0.00078463701
302.8401,-0.0010306465
302.8401,-0.001036974
302.8401,-0.0013131964
302.8401,-0.0014862071
302.8401,-0.001650394
302.8401,-0.0016523299
302.8401,-0.0016815539
302.8401,-0.0017071885
302.8401,-0.0017074477
302.8401,-0.0017566781
302.8401,-0.00187374
302.8401,-0.0019057327
302.8401,-0.0019269381
302.8401,-0.0019558819
303.1841,0.0017177356
303.1841,0.0016833237
303.1841,0.0016612656
303.1841,0.0016434205
303.1841,0.0015931612
303.1841,0.0015894258
303.1841,0.0015090414
303.1841,0.0014644691
303.1841,0.0014037285
303.1841,0.0012617089
303.1841,0.0011928062
303.1841,0.0011689577
303.1841,0.00087410801
303.1841,0.00084359297
303.1841,0.00083297519
303.1841,0.00082037519
303.1841,0.00078119545
303.1841,0.00066246179
303.1841,0.00061434177
303.1841,0.00055138126
303.1841,0.00054730426
303.1841,0.00052782471
303.1841,0.00052583012
303.1841,0.00051305327
303.1841,0.00049300185
303.1841,0.00038699605
303.1841,0.00032835609
303.1841,0.00030775406
303.1841,0.00023184193
303.1841,0.00015239427
303.1841,5.4453541e-05
303.1841,-7.256806e-06
303.1841,-1.1523907e-05
303.1841,-2.55788e-05
303.1841,-4.8663253e-05
303.1841,-9.7188534e-05
303.1841,-0.00016309078
303.1841,-0.0001762856
303.1841,-0.00018532666
303.1841,-0.00043984448
303.1841,-0.00045105166
303.1841,-0.00046259206
303.1841,-0.00050825226
303.1841,-0.00055211427
303.1841,-0.00056360075
303.1841,-0.00061321046
303.1841,-0.00072221638
303.1841,-0.0007626607
303.1841,-0.00084860907
303.1841,-0.00089606336
303.1841,-0.00092620803
303.1841,-0.00095029956
303.1841,-0.00099291068
303.1841,-0.0010525336
303.1841,-0.0010935603
303.1841,-0.0011538659
303.1841,-0.0012887434
303.1841,-0.0013174878
303.1841,-0.001367344
303.1841,-0.0014587443
303.1841,-0.0014631509
303.1841,-0.0014854121
303.1841,-0.0015054192
303.1841,-0.0015430972
303.1841,-0.0015543399
303.1841,-0.0015685563
303.1841,-0.0016922348
303.1841,-0.0018439437
303.1841,-0.0018834326
303.1841,-0.0019138945
443.8948,0.0018210949
443.8948,0.0017986312
443.8948,0.0014260103
443.8948,0.0014042605
443.8948,0.0013144328
443.8948,0.0012691567
443.8948,0.0011055437
