Unique MASCOT (mz),Difference (mz),MASCOT RT (mins)
302.8401,0.0016252462,2.9990667
302.8401,0.0015506419,2.9948833
302.8401,0.0014752079,3.1850833
302.8401,0.0013331458,3.1412
302.8401,0.0012984971,2.9572667
302.8401,0.00082138559,2.6123833
302.8401,0.0007070647,3.55505
302.8401,0.0006638322,3.2833167
302.8401,0.00055894543,2.9447167
302.8401,0.00043260065,2.9656167
302.8401,0.00032519608,3.1809
302.8401,2.818453e-06,2.8715667
302.8401,-0.00041244597,2.9405333
302.8401,-0.00044983325,3.5487667
302.8401,-0.00053424868,2.9677167
302.8401,-0.00056734465,2.9489
302.8401,-0.00060997127,2.8778333
302.8401,-0.00078463701,3.57595
302.8401,-0.0010306465,2.8820167
302.8401,-0.001036974,2.8694667
302.8401,-0.0013131964,2.87575
302.8401,-0.0014862071,2.8590167
302.8401,-0.001650394,2.7524333
302.8401,-0.0016523299,2.70645
302.8401,-0.0016815539,2.70435
302.8401,-0.0017071885,3.5655
302.8401,-0.0017074477,2.9091833
302.8401,-0.0017566781,2.8360333
302.8401,-0.00187374,2.6855333
302.8401,-0.0019057327,2.7503333
302.8401,-0.0019269381,2.7378
302.8401,-0.0019558819,2.6750833
303.1841,0.0017177356,1.9142833
303.1841,0.0016833237,2.7231667
303.1841,0.0016612656,2.74825
303.1841,0.0016434205,1.83485
303.1841,0.0015931612,2.9760667
303.1841,0.0015894258,2.98235
303.1841,0.0015090414,2.7294333
303.1841,0.0014644691,1.8683
303.1841,0.0014037285,2.5914833
303.1841,0.0012617089,1.8829167
303.1841,0.0011928062,2.6939
303.1841,0.0011689577,1.8703833
303.1841,0.00087410801,2.59775
303.1841,0.00084359297,1.89755
303.1841,0.00083297519,1.8850167
303.1841,0.00082037519,2.9781667
303.1841,0.00078119545,2.7106167
303.1841,0.00066246179,2.9865167
303.1841,0.00061434177,1.8515667
303.1841,0.00055138126,2.7419833
303.1841,0.00054730426,2.9698
303.1841,0.00052782471,1.9121833
303.1841,0.00052583012,1.8954667
303.1841,0.00051305327,1.8432167
303.1841,0.00049300185,1.8599333
303.1841,0.00038699605,2.9656167
303.1841,0.00032835609,1.9519
303.1841,0.00030775406,2.9907
303.1841,0.00023184193,2.9739833
303.1841,0.00015239427,2.7001667
303.1841,5.4453541e-05,2.9489
303.1841,-7.256806e-06,1.9059167
303.1841,-1.1523907e-05,2.7336167
303.1841,-2.55788e-05,1.9581667
303.1841,-4.8663253e-05,1.908
303.1841,-9.7188534e-05,2.74615
303.1841,-0.00016309078,2.2905
303.1841,-0.0001762856,1.9477167
303.1841,-0.00018532666,1.96235
303.1841,-0.00043984448,1.9811667
303.1841,-0.00045105166,2.7315167
303.1841,-0.00046259206,2.9928
303.1841,-0.00050825226,2.3615667
303.1841,-0.00055211427,2.7210667
303.1841,-0.00056360075,1.91845
303.1841,-0.00061321046,1.931
303.1841,-0.00072221638,2.0292333
303.1841,-0.0007626607,1.9038333
303.1841,-0.00084860907,1.9268167
303.1841,-0.00089606336,2.3594833
303.1841,-0.00092620803,2.7189833
303.1841,-0.00095029956,2.02505
303.1841,-0.00099291068,1.9853333
303.1841,-0.0010525336,2.00415
303.1841,-0.0010935603,2.9844333
303.1841,-0.0011538659,2.0773
303.1841,-0.0012887434,2.3553
303.1841,-0.0013174878,2.72525
303.1841,-0.001367344,1.93935
303.1841,-0.0014587443,2.0229667
303.1841,-0.0014631509,2.0167
303.1841,-0.0014854121,1.9226333
303.1841,-0.0015054192,2.3406667
303.1841,-0.0015430972,2.0543167
303.1841,-0.0015543399,2.3323
303.1841,-0.0015685563,2.0083333
303.1841,-0.0016922348,1.9665333
303.1841,-0.0018439437,1.9456333
303.1841,-0.0018834326,1.9351833
303.1841,-0.0019138945,2.0501333
443.8948,0.0018210949,4.72975
443.8948,0.0017986312,4.6189667
443.8948,0.0014260103,4.6252333
443.8948,0.0014042605,5.22725
443.8948,0.0013144328,4.62315
443.8948,0.0012691567,4.7339333
443.8948,0.0011055437,4.7234833
443.8948,0.0010278644,4.7193
443.8948,0.00050888816,4.7046667
443.8948,0.00032972049,4.6795833
443.8948,0.00032741117,4.6294167
443.8948,2.0614553e-05,4.7172
443.8948,-0.00010986583,4.6419667
443.8948,-0.00012337828,4.6315167
443.8948,-0.00020300805,4.6377833
443.8948,-0.00029267716,4.6461333
443.8948,-0.00041175819,4.70675
443.8948,-0.00052335862,4.7151167
443.8948,-0.00054010746,4.64405
443.8948,-0.00058060443,4.7213833
443.8948,-0.00058903119,4.6963
443.8948,-0.0006231824,4.6775
443.8948,-0.00063291166,4.6984
443.8948,-0.00070528913,4.6566
443.8948,-0.00077241548,4.6628667
443.8948,-0.00078069188,4.6586833
443.8948,-0.00078178387,4.68585
443.8948,-0.00079583465,4.6210667
443.8948,-0.00084322227,4.6754
443.8948,-0.00086269272,4.6336
443.8948,-0.00093592577,4.6837667
443.8948,-0.00093676763,4.7004833
443.8948,-0.00096441682,4.6712167
443.8948,-0.00097811037,4.6356833
443.8948,-0.0010117169,4.68795
443.8948,-0.0010214383,4.6482333
443.8948,-0.0010333766,4.6398667
443.8948,-0.0010365551,4.6921167
443.8948,-0.001041067,4.6524167
443.8948,-0.0010530657,4.70885
443.8948,-0.0010878432,4.7025833
443.8948,-0.0011791447,4.7109333
443.8948,-0.0012136483,4.6691333
443.8948,-0.0012863569,4.6942167
443.8948,-0.0014008322,4.6607667
443.8948,-0.001466149,4.6273333
443.8948,-0.0014679077,4.66495
443.8948,-0.0014815406,4.66705
443.8948,-0.0014839223,4.6900333
443.8948,-0.0015303209,4.7130333
443.8948,-0.0017521388,4.6733167
443.8948,-0.0019221032,4.6503167
443.8948,-0.0019781838,4.6816667
445.7583,0.0017973786,4.55
445.7583,0.0017372671,4.1675
445.7583,0.0015908853,4.1152
445.7583,0.0014668812,4.60015
445.7583,0.0014538445,4.1466
445.7583,0.0012265914,4.1403167
445.7583,0.0012243954,4.1486833
445.7583,0.0011761385,3.0847667
445.7583,0.0010762265,4.1424167
445.7583,0.00095111311,4.1298667
445.7583,0.0008678614,3.0680333
445.7583,0.00081892234,3.0952167
445.7583,0.00081826829,4.1215167
445.7583,0.00080005629,4.1236
445.7583,0.00062636035,4.17795
445.7583,0.00057373553,4.1445
445.7583,0.00025421457,4.1716833
445.7583,0.0001345609,4.1382333
445.7583,1.2424746e-05,4.1695833
445.7583,-1.9866023e-05,4.15495
445.7583,-2.6051501e-05,4.1591333
445.7583,-7.3512947e-05,4.13405
445.7583,-0.00013708848,4.1528667
445.7583,-0.00036387675,4.1173333
445.7583,-0.00041980434,3.0993833
445.7583,-0.0005348097,3.0826667
445.7583,-0.00085403593,4.1257
445.7583,-0.00096300423,3.0743167
445.7583,-0.0010291362,2.7921333
445.7583,-0.0010361614,4.1654
445.7583,-0.0011179961,4.1277833
445.7583,-0.001169634,4.1737667
445.7583,-0.001220151,3.04295
445.7583,-0.0013469312,2.9217333
445.7583,-0.0014550428,4.13615
445.7583,-0.0016414195,3.1056667
445.7583,-0.0016534299,4.17585
445.7583,-0.0017367334,4.1633167
445.7583,-0.0017451987,4.1507833
445.7583,-0.00183922,4.1319667
445.7583,-0.001903519,3.0304167
445.7583,-0.0019991489,2.7858667
449.2272,0.0019886978,3.9709833
449.2272,0.0019594669,4.3409833
449.2272,0.0019127842,4.5938833
449.2272,0.0019088121,4.4663833
449.2272,0.0019047142,3.2728667
449.2272,0.0018536916,4.38905
449.2272,0.001817351,4.3096333
449.2272,0.001814978,5.3902667
449.2272,0.0017855982,3.95845
449.2272,0.0017726885,4.9973333
449.2272,0.0017598786,4.9471667
449.2272,0.0017243127,4.2594667
449.2272,0.0017140764,3.9500833
449.2272,0.0017023253,3.87275
449.2272,0.0017001953,4.5897
449.2272,0.0016856382,4.5541667
449.2272,0.0016607986,4.17795
449.2272,0.0016604482,4.34725
449.2272,0.0016529188,5.09765
449.2272,0.0016450485,4.272
449.2272,0.0016345027,4.9785167
449.2272,0.0016072998,4.4893833
449.2272,0.0015986865,4.2030333
449.2272,0.0015859446,4.19885
449.2272,0.0015856978,4.4601167
449.2272,0.0015818842,4.7109333
449.2272,0.0015668807,4.4371333
449.2272,0.001550895,4.4496667
449.2272,0.0015147404,4.3012667
449.2272,0.0014962664,4.2511
449.2272,0.0014796255,4.4914667
449.2272,0.0014209431,3.8623
449.2272,0.001393604,4.2176667
449.2272,0.0013882521,4.3660667
449.2272,0.0013674048,4.7213833
449.2272,0.0013539628,4.3995
449.2272,0.0013300612,4.3786
449.2272,0.0013160768,4.4810167
449.2272,0.0012732262,3.7494333
449.2272,0.0012700888,4.3974167
449.2272,0.0012415059,3.902
449.2272,0.0012386803,4.2678167
449.2272,0.0011945079,4.39115
449.2272,0.0011721427,2.8506667
449.2272,0.0011476812,4.2782667
449.2272,0.001132819,5.0537667
449.2272,0.0011104812,5.11855
449.2272,0.0010795618,4.2239333
449.2272,0.0010689115,4.47475
449.2272,0.0010237933,4.3639667
449.2272,0.001020056,4.24065
449.2272,0.00097976563,4.9220833
449.2272,0.00095544767,4.4559333
449.2272,0.00093682819,4.99315
449.2272,0.00088912107,4.3535167
449.2272,0.00087074733,4.5040167
449.2272,0.00086292544,4.4225
449.2272,0.0008439382,4.1884
449.2272,0.00084132854,4.9868833
449.2272,0.00081597529,5.01405
449.2272,0.00079235064,5.1060167
449.2272,0.00079000486,4.5019167
449.2272,0.00075045299,3.9521667
449.2272,0.00072578367,3.9626167
449.2272,0.00068803529,4.2051167
449.2272,0.00064688847,4.43295
449.2272,0.00061831487,4.2741
449.2272,0.00058846312,4.3932333
449.2272,0.00058832126,3.9438167
449.2272,0.00056402001,4.4726667
449.2272,0.00055797154,4.2134833
449.2272,0.00051527187,3.9208167
449.2272,0.00050583263,4.2322833
449.2272,0.00038902283,4.4705667
449.2272,0.00038877957,4.4977333
449.2272,0.00036373896,4.5291
449.2272,0.00034465135,4.4935667
449.2272,0.00033406534,3.6950833
449.2272,0.00029393985,3.8978333
449.2272,0.0002809025,4.5061
449.2272,0.00026561533,4.7193
449.2272,0.00022672952,4.4872833
449.2272,0.0001965579,3.9542667
449.2272,0.00015447405,3.8246667
449.2272,0.00015164905,4.5249167
449.2272,0.00015032877,4.2155667
449.2272,0.00014046521,3.9751667
449.2272,0.00011265048,4.3807
449.2272,0.00011145764,4.2281167
449.2272,9.6077658e-05,3.9877
449.2272,1.926198e-05,4.3597833
449.2272,-2.6237559e-05,3.2833167
449.2272,-5.161466e-05,4.2113833
449.2272,-0.00011404549,3.2749667
449.2272,-0.00016158416,4.2218333
449.2272,-0.00016575824,4.36815
449.2272,-0.00017864843,5.3547333
449.2272,-0.00018616705,3.7097167
449.2272,-0.00028496019,4.2009333
449.2272,-0.0003026787,4.2364667
449.2272,-0.00035582249,4.3869667
449.2272,-0.00037736623,5.0725667
449.2272,-0.00038607186,4.1800333
449.2272,-0.00044426153,4.3848667
449.2272,-0.00045477436,3.7745167
449.2272,-0.00049787795,4.2072167
449.2272,-0.00054989131,4.3827833
449.2272,-0.00056787486,4.3744167
449.2272,-0.0006121547,4.4831167
449.2272,-0.00061365278,4.4643
449.2272,-0.00065141566,3.9417167
449.2272,-0.00068417015,4.5416333
449.2272,-0.00071095295,3.7264333
449.2272,-0.00080374708,4.527
449.2272,-0.00085857754,3.8330333
449.2272,-0.00086988443,3.9647167
449.2272,-0.00091766633,4.1675
449.2272,-0.00092122489,3.9061833
449.2272,-0.00093641931,4.13615
449.2272,-0.0010452899,4.1967667
449.2272,-0.0010639945,5.1143667
449.2272,-0.001122,4.4622
449.2272,-0.0013405932,4.3702333
449.2272,-0.0014049985,4.4078667
449.2272,-0.0014092048,4.5479
449.2272,-0.0014148273,3.27915
449.2272,-0.0014718385,4.4580333
449.2272,-0.0014913244,4.21975
449.2272,-0.0016450248,4.1821333
449.2272,-0.0018987576,3.7076167
449.2272,-0.0019925547,3.87065
453.7556,0.0019878199,3.3878333
453.7556,0.0019782262,4.0922167
453.7556,0.0019720131,4.0901167
453.7556,0.0019234682,3.8999167
453.7556,0.0018992724,3.5822167
453.7556,0.0018806148,3.2812333
453.7556,0.0018736138,4.0671333
453.7556,0.0018595984,3.2833167
453.7556,0.0018031897,3.6093833
453.7556,0.0017702621,4.1089333
453.7556,0.0017057465,4.1152
453.7556,0.0015475346,4.1173333
453.7556,0.0015231229,3.30005
453.7556,0.0015191187,3.3063167
453.7556,0.0013365691,3.5466833
453.7556,0.0012511732,3.5278667
453.7556,0.0011607035,3.6261
453.7556,0.0011292497,3.51115
453.7556,0.0011222772,4.1675
453.7556,0.0011193228,3.3125833
453.7556,0.0011107502,4.10685
453.7556,0.0010493544,3.5508667
453.7556,0.00099367911,3.29795
453.7556,0.00099139871,3.5571333
453.7556,0.00094960725,3.2958667
453.7556,0.00094644407,3.55505
453.7556,0.00076191368,4.0545833
453.7556,0.00066949844,4.0943
453.7556,0.00023205052,3.5801167
453.7556,0.00013806375,4.0650333
453.7556,-0.00025588776,3.2896
453.7556,-0.00035389602,3.3021333
453.7556,-0.00036416941,3.57385
453.7556,-0.00037399127,2.85485
453.7556,-0.00038291437,3.3523
453.7556,-0.00069243957,3.2854167
453.7556,-0.00086427614,3.5236833
453.7556,-0.00087979141,3.1265667
453.7556,-0.00088393355,2.19435
453.7556,-0.00091631438,2.7503333
453.7556,-0.001459922,2.7566
453.7556,-0.0018089701,2.8632
453.7556,-0.0018113732,2.6855333
453.7556,-0.001884455,4.0964
453.7556,-0.0019228119,2.6123833
454.558,0.0019376616,6.06125
454.558,0.0016009995,4.4705667
454.558,0.0014570433,4.4663833
454.558,0.001416731,3.4003667
454.558,0.0013305955,5.0746667
454.558,0.00088386819,4.6482333
454.558,0.00066400748,3.40455
454.558,0.00050515464,3.5926667
454.558,0.00045957853,4.4496667
454.558,0.0003145643,3.3021333
454.558,0.00023220645,4.6545
454.558,-0.0001375671,3.6198333
454.558,-0.00022381886,5.0851167
454.558,-0.00077151533,3.2916833
454.558,-0.0013779979,3.6031167
501.2607,0.001983573,4.7402
501.2607,0.0019681139,2.7816833
501.2607,0.0018614308,4.7360167
501.2607,0.0018563703,4.3096333
501.2607,0.0018546064,2.3260333
501.2607,0.0018468009,4.7569167
501.2607,0.0017027822,3.6282
501.2607,0.001674064,2.2905
501.2607,0.0016723505,2.9029167
501.2607,0.0016449381,2.9405333
501.2607,0.0016372565,4.9179
501.2607,0.0016139532,4.7193
501.2607,0.0016134716,4.8384667
501.2607,0.0015933435,4.2866333
501.2607,0.0015832909,4.6336
501.2607,0.0015679982,4.8823667
